,YAD,AECI,HST,TAL,DUK,FPC,CPLE,CPLW,EEI,FMPP,FPL,GVL,GRID,ISNE,JEA,LGEE,MISO,NSB,NYIS,NWMT,OVEC,PJM,AEC,PNM,SEC,SCEG,SC,SEPA,SOCO,SWPP,SPA,TEC,TVA,WACM,WAUW,NBSO,ERCO
2019-01-01 00:00:00,0.0,2229.239990234375,58.11566925048828,243.3518218994141,10396.900390625,4471.5263671875,6651.92236328125,524.7240600585938,0.0,0.0,11971.95703125,179.15040588378906,0.0,11478.5986328125,1143.133056640625,3236.301025390625,69487.0625,0.0,15526.955078125,0.0,0.0,83669.53125,0.0,0.0,112.33535766601562,2196.210693359375,2270.728759765625,0.0,21692.8046875,26974.001953125,66.37046813964844,1979.1170654296875,14011.2021484375,0.0,0.0,0.0,0.0
2019-01-01 01:00:00,0.0,2188.671630859375,52.15972137451172,226.1812744140625,9970.2177734375,4062.884765625,6478.24462890625,500.1008605957031,0.0,0.0,10868.3125,167.3658447265625,0.0,11042.796875,1065.235107421875,3084.684814453125,67222.515625,0.0,14766.0478515625,0.0,0.0,80894.90625,0.0,0.0,112.0750503540039,2116.109130859375,2208.75927734375,0.0,21165.02734375,26226.40234375,64.66050720214844,1802.719482421875,13499.5400390625,0.0,0.0,0.0,0.0
2019-01-01 02:00:00,0.0,2182.81396484375,47.98868560791016,214.38357543945312,9729.9462890625,3793.526123046875,6412.5546875,488.1385803222656,0.0,0.0,10077.4931640625,160.48277282714844,0.0,10756.6181640625,1012.9190673828124,2980.2421875,65492.33203125,0.0,14304.8935546875,0.0,0.0,79101.28125,0.0,0.0,114.03543090820312,2072.057861328125,2186.524658203125,0.0,20927.328125,25742.69140625,64.09896087646484,1675.3243408203125,13114.1328125,0.0,0.0,0.0,0.0
2019-01-01 03:00:00,0.0,2196.62548828125,45.59437561035156,207.20724487304688,9623.3251953125,3648.33203125,6434.15869140625,486.5343017578125,0.0,0.0,9589.1982421875,157.27951049804688,0.0,10582.9130859375,985.0281372070312,2922.875244140625,64390.1484375,0.0,14111.6611328125,0.0,0.0,78305.1171875,0.0,0.0,118.56192016601562,2067.468994140625,2197.24853515625,0.0,21026.09375,25518.5703125,64.80081176757812,1592.9786376953125,12911.73046875,0.0,0.0,0.0,0.0
2019-01-01 04:00:00,0.0,2235.6689453125,44.91164779663086,204.9792022705078,9648.3984375,3610.892578125,6572.8544921875,490.9248046875,0.0,0.0,9386.619140625,157.5581512451172,0.0,10569.2275390625,981.1727905273438,2881.12939453125,63853.5703125,0.0,14085.0,0.0,0.0,78310.296875,0.0,0.0,124.76815032958984,2099.498779296875,2243.5361328125,0.0,21549.19140625,25633.470703125,66.26036834716797,1559.4947509765625,12964.7138671875,0.0,0.0,0.0,0.0
2019-01-01 05:00:00,0.0,2313.02685546875,46.22232818603516,209.3992919921875,9902.3349609375,3710.020751953125,6768.767578125,505.8717041015625,0.0,0.0,9502.359375,163.10853576660156,0.0,10779.658203125,1003.15576171875,2889.55859375,63968.9609375,0.0,14292.4384765625,0.0,0.0,79523.890625,0.0,0.0,132.84544372558594,2158.795166015625,2315.007080078125,0.0,22576.05859375,26154.875,68.15570831298828,1583.6512451171875,13377.380859375,0.0,0.0,0.0,0.0
2019-01-01 06:00:00,0.0,2477.4443359375,50.09001922607422,227.3168029785156,10734.625,4053.05078125,7270.4013671875,549.160888671875,0.0,0.0,10216.5546875,178.63119506835938,0.0,11439.154296875,1085.2919921875,3010.03369140625,65621.15625,0.0,14954.3701171875,0.0,0.0,83207.4765625,0.0,0.0,156.17335510253906,2295.41845703125,2486.361572265625,0.0,24706.25,27680.3359375,68.50376892089844,1718.949951171875,14371.396484375,0.0,0.0,0.0,0.0
2019-01-01 07:00:00,0.0,2699.648681640625,52.479637145996094,257.9144592285156,11738.6328125,4491.291015625,7655.333984375,592.9149169921875,0.0,0.0,11030.296875,197.123291015625,0.0,12123.634765625,1212.62548828125,3197.157470703125,69333.9375,0.0,15858.5361328125,0.0,0.0,87970.3359375,0.0,0.0,180.4754333496093,2407.287353515625,2626.201904296875,0.0,26437.58203125,29387.140625,69.49639892578125,1897.1170654296875,15349.9306640625,0.0,0.0,0.0,0.0
2019-01-01 08:00:00,0.0,2774.797607421875,51.82084274291992,283.4608764648437,12376.7470703125,4769.34033203125,7767.552734375,616.4849243164062,0.0,0.0,11858.2861328125,212.9678649902344,0.0,12537.576171875,1308.7105712890625,3328.654296875,73959.21875,0.0,16384.599609375,0.0,0.0,90463.71875,0.0,0.0,200.4078369140625,2478.285400390625,2697.1650390625,0.0,27142.845703125,30548.095703125,70.35360717773438,1999.2103271484373,15804.1806640625,0.0,0.0,0.0,0.0
2019-01-01 09:00:00,0.0,2748.985107421875,54.92748260498047,292.956298828125,12432.7685546875,5030.5703125,7537.826171875,617.6714477539062,0.0,0.0,12921.2939453125,218.17127990722656,0.0,12613.4775390625,1316.0933837890625,3369.785888671875,76608.7890625,0.0,16470.671875,0.0,0.0,90326.84375,0.0,0.0,213.0189208984375,2505.33642578125,2689.97216796875,0.0,27077.748046875,30871.662109375,70.28224182128906,2086.20263671875,15955.57421875,0.0,0.0,0.0,0.0
