YAD,AECI,HST,TAL,DUK,FPC,CPLE,CPLW,EEI,FMPP,FPL,GVL,GRID,ISNE,JEA,LGEE,MISO,NSB,NYIS,NWMT,OVEC,PJM,AEC,PNM,SEC,SCEG,SC,SEPA,SOCO,SWPP,SPA,TEC,TVA,WACM,WAUW,NBSO,ERCO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4602510426193201,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6728458981960386,0.0,0.0155553827062244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0001756846904266,0.0,0.0,0.0,0.0,0.0,1.67057135505583,0.0,0.0,0.975550371222102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2756641585378958,0.0,0.0,0.0,0.2813398309051967,0.0,1.3907637447118422,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0460545569658273,3.444584541022697,0.3206794694997174,9.564664632081934,0.0,0.0,0.0,4.02515872283826,0.0,0.0,19.93857980240131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8246949143707227,0.5456892315298292,0.0,94.70008389428246,0.3036779657006091,0.0,2.8232178837060813,1.0012896563857512,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0965820401906948,18.57130630686876,1.2966928626410317,56.95560819506634,0.0,0.0,0.0,13.168711313186185,0.0,0.0,74.58961566910142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.94411630630488,0.0,0.0,0.0,21.211434358358304,2.2077057234942896,0.0,723.6020612001419,0.3870264172554007,0.0,0.0,1.6155385784804566,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0312948636710615,93.86133126914493,15.921697050332993,266.21223768889905,0.0,0.0,0.0,84.6203937370329,0.0,0.0,238.0539906769991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.88005218505845,0.0,0.0,0.0,108.71061400771134,6.265807473659512,0.0,1752.5496960639953,0.477131664007877,0.0,0.0,3.626178420148776,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.3486186191439606,239.8472998440264,89.52180467545985,0.0,0.0,0.0,0.0,342.8771722838281,0.0,0.0,573.1871091574429,0.0,0.0,1.5546904563902686,0.0,0.0,0.0,0.0,741.0381240844724,0.0,0.0,0.0,358.4919489622116,14.517392742633811,0.0,2358.33108587265,0.4642799876630061,0.0,116.5404894351959,9.640689451247436,0.0,0.0,0.0,0.0
0.0,0.0,0.0,6.951371327042579,474.8010737299918,224.49255648255348,1168.966936993599,0.0,0.0,0.0,954.5030494123696,0.0,0.0,891.701538413763,0.0,0.0,4.693672263622241,0.0,0.0,0.0,0.0,1411.550375366211,0.0,0.0,0.0,588.4886766910553,28.023119598627087,0.0,2635.4,0.462461188435526,0.0,275.6217764616012,26.812446832656857,0.0,0.0,0.0,0.0
